product_category,total_sales,total_transactions
Apparel,161088.00552658056,306
Automotive,92535.43128438268,188
Baby,106092.10604978088,195
Beauty,124690.61857051538,242
Books,117226.40261533925,234
Camera,76906.70623616775,156
Digital_Ebook_Purchase,110544.90304994358,205
Digital_Music_Purchase,101938.6810686371,217
Digital_Software,59119.78421024927,114
Digital_Video_Download,67527.38984190219,133
Digital_Video_Games,89303.15887255926,183
Electronics,85835.71579163661,174
Furniture,75083.73131568977,171
Gift Card,17626.600958948722,38
Grocery,107413.04983607773,224
Health & Personal Care,94266.27434247511,189
Major Appliances,131967.02328821484,247
Mobile_Apps,63383.510629370816,133
Mobile_Electronics,77509.66763697294,149
Music,93687.32257910186,192
Musical Instruments,95546.74883069207,188
Office Products,104745.05724131681,205
Outdoors,97704.79200730538,195
PC,109694.65964595746,205
Toys,2376.3968725346745,5
Video DVD,19500.11099250373,36
Wireless,358.39073282470434,1
