product_category,total_sales,total_transactions
Apparel,160830.7439009593,315
Automotive,101774.83104743435,195
Baby,88050.66324146782,185
Beauty,96123.26705978495,199
Books,114318.79461712927,211
Camera,96394.44071125623,182
Digital_Ebook_Purchase,113331.20637491818,217
Digital_Music_Purchase,105421.71497924638,211
Digital_Software,53447.46411856855,106
Digital_Video_Download,91648.37132390567,182
Digital_Video_Games,86018.30005975085,173
Electronics,87148.99847697587,174
Furniture,78695.06666350778,161
Gift Card,18075.678843261652,40
Grocery,104662.58312515532,192
Health & Personal Care,99920.7342061885,193
Major Appliances,97273.155258995,198
Mobile_Apps,80667.7908081049,168
Mobile_Electronics,78144.42187788828,147
Music,99872.81537194717,194
Musical Instruments,108189.76890138359,206
Office Products,108027.7084403047,218
Outdoors,92795.70308280253,199
PC,95919.72127270274,188
Video DVD,14560.506777761257,29
