product_category,total_sales,total_transactions
Apparel,168686.4760603152,341
Automotive,99312.14893630995,212
Baby,96353.23314089996,190
Beauty,103022.7010263974,203
Books,96931.76845831153,204
Camera,86839.53532259911,194
Digital_Ebook_Purchase,121241.66268770487,231
Digital_Music_Purchase,111565.85287249295,222
Digital_Software,56526.54983638378,106
Digital_Video_Download,74715.13906922903,149
Digital_Video_Games,88202.67275035495,168
Electronics,93552.19749776705,178
Furniture,85739.05978259126,168
Gift Card,14285.519529119565,34
Grocery,95404.33444699552,202
Health & Personal Care,110665.85186434309,214
Major Appliances,127345.85252462266,277
Mobile_Apps,83363.46813175025,164
Mobile_Electronics,72878.43532959513,148
Music,87187.88286656089,179
Musical Instruments,95342.63537487216,188
Office Products,97550.03535791275,182
Outdoors,107026.52957543303,223
PC,99077.81409090325,211
Toys,208.05869049282276,1
Video DVD,12608.238865536214,25
