product_category,total_sales,total_transactions
Apparel,158023.8075742951,308
Automotive,101214.5897935016,202
Baby,104665.27698124116,214
Beauty,119010.19835238885,233
Books,110067.68957143834,225
Camera,87078.01822187184,165
Digital_Ebook_Purchase,124406.87962552266,224
Digital_Music_Purchase,95043.75269574138,192
Digital_Software,43093.473393323395,98
Digital_Video_Download,78634.91383193785,146
Digital_Video_Games,112255.06843819896,205
Electronics,80756.25488056458,166
Furniture,86383.75147423481,171
Gift Card,17901.831948123316,34
Grocery,89195.8978748328,188
Health & Personal Care,114701.928222285,228
Home Entertainment,425.47724558348,1
Major Appliances,128099.004347399,249
Mobile_Apps,88996.26685557156,163
Mobile_Electronics,81441.56383008166,155
Music,109475.34298215352,201
Musical Instruments,99698.93908874557,193
Office Products,106821.78926240923,218
Outdoors,94664.67383657246,203
PC,105266.99524201002,214
Toys,922.8502076208532,2
Video DVD,13764.557566537705,26
Wireless,698.0081564459306,1
