product_category,total_sales,total_transactions
Apparel,171060.5325412354,343
Automotive,109598.54074633983,220
Baby,95391.6755705044,183
Beauty,114311.83470628022,239
Books,112728.66729506526,241
Camera,81323.16938617837,155
Digital_Ebook_Purchase,120088.47860886854,249
Digital_Music_Purchase,102413.84288088173,206
Digital_Software,43046.073489630864,87
Digital_Video_Download,74235.85400292536,146
Digital_Video_Games,97366.20384723027,196
Electronics,94087.64181033512,178
Furniture,96571.29195018047,191
Gift Card,14711.390902459829,34
Grocery,95263.77466746743,201
Health & Personal Care,102376.34174701796,215
Major Appliances,111380.88509011241,222
Mobile_Apps,82082.73159843088,155
Mobile_Electronics,60701.742507909286,116
Music,82896.73144829857,176
Musical Instruments,98142.11091300285,192
Office Products,96907.26452453366,186
Outdoors,95602.04593586564,201
PC,92802.2861855362,183
Toys,864.8669174767082,1
Video DVD,11921.919286730435,21
