product_category,total_sales,total_transactions
Apparel,154361.59878163371,309
Automotive,98268.35932747123,195
Baby,75919.00778119416,154
Beauty,116364.08656087064,236
Books,113948.39260480864,224
Camera,99948.1026734048,195
Digital_Ebook_Purchase,112107.15374725204,221
Digital_Music_Purchase,105233.30094169492,212
Digital_Software,61096.98764912399,116
Digital_Video_Download,77155.59557362793,162
Digital_Video_Games,83723.96471698399,166
Electronics,100069.21117571517,204
Furniture,83413.51555522476,163
Gift Card,18357.68595155108,37
Grocery,90850.05122884642,181
Health & Personal Care,99367.13561951934,199
Major Appliances,126305.02369508432,243
Mobile_Apps,82512.97461229248,155
Mobile_Electronics,73271.97765127665,133
Music,96834.25974403962,187
Musical Instruments,99650.21354741744,189
Office Products,92477.2131866417,188
Outdoors,94431.16749104166,190
PC,108645.70772726691,214
Video DVD,13231.281514450535,33
