product_category,total_sales,total_transactions
Apparel,184696.53225313697,355
Automotive,112603.94515959172,227
Baby,110230.17604772498,215
Beauty,106925.47148000171,211
Books,115671.29832878245,220
Camera,102635.18118370874,206
Digital_Ebook_Purchase,123650.69948870398,244
Digital_Music_Purchase,102531.87588185235,215
Digital_Software,58254.58330019238,126
Digital_Video_Download,87932.63387401284,179
Digital_Video_Games,78081.61368988088,159
Electronics,88059.65193594272,185
Furniture,94399.72500056578,175
Gift Card,21775.808895611925,45
Grocery,110964.80951134292,220
Health & Personal Care,100158.47845507722,193
Major Appliances,138349.3605323331,269
Mobile_Apps,92444.88809961932,195
Mobile_Electronics,98999.30728151131,182
Music,103594.74221045007,209
Musical Instruments,102203.93995223982,195
Office Products,98299.89909485255,194
Outdoors,95957.15131909415,209
PC,100230.46822702484,192
Shoes,457.4147621575582,1
Video DVD,12157.17060608114,28
