product_category,total_sales,total_transactions
Apparel,178058.48302667373,355
Automotive,104440.77973591308,214
Baby,91374.46224277419,193
Beauty,104243.571314932,204
Books,126432.4853074556,233
Camera,89098.22093942537,182
Digital_Ebook_Purchase,126785.68168537485,257
Digital_Music_Purchase,96656.17538506034,205
Digital_Software,69069.46328780724,128
Digital_Video_Download,90457.13075134071,186
Digital_Video_Games,95864.46776462268,166
Electronics,86666.60266531126,177
Furniture,87205.50506215205,167
Gift Card,14483.226339798688,32
Grocery,102198.29508462665,196
Health & Personal Care,103480.71116618434,209
Major Appliances,118060.01575191149,251
Mobile_Apps,80393.7627417835,158
Mobile_Electronics,85504.82872457929,172
Music,105041.62243998535,202
Musical Instruments,93216.60336924807,176
Office Products,118463.81947483025,229
Outdoors,107225.0536942858,222
PC,84399.82235067544,173
Toys,1612.1296448860048,4
Video DVD,13142.064231407661,28
