product_category,total_sales,total_transactions
Apparel,159276.4173357075,300
Automotive,99805.57830570101,184
Baby,87525.67127697774,186
Beauty,98459.62757688324,196
Books,101267.27819953776,211
Camera,89320.60265815564,182
Digital_Ebook_Purchase,115151.27842976915,216
Digital_Music_Purchase,93239.78205333214,200
Digital_Software,63395.72478660594,117
Digital_Video_Download,64739.5766582256,134
Digital_Video_Games,79105.39083031483,161
Electronics,85663.58654192156,179
Furniture,82595.5266742193,174
Gift Card,22366.860226081182,47
Grocery,109443.8412795972,208
Health & Personal Care,104900.96018969937,199
Home Entertainment,639.9626349250793,1
Major Appliances,129977.25622989052,254
Mobile_Apps,85124.24041936189,162
Mobile_Electronics,73183.59375420738,154
Music,98246.27439798786,188
Musical Instruments,98252.48765590113,189
Office Products,108183.09164462108,203
Outdoors,91191.18191940596,185
PC,104131.20619856444,202
Toys,3242.744409825179,6
Video DVD,14891.783608675718,32
Wireless,203.5483963339616,1
