product_category,total_sales,total_transactions
Apparel,168162.21549221396,338
Automotive,111317.16237740825,223
Baby,86799.68072523834,170
Beauty,121860.43443152019,228
Books,102164.19584589513,202
Camera,86955.98760667839,175
Digital_Ebook_Purchase,101813.75649209839,199
Digital_Music_Purchase,106985.58992497862,220
Digital_Software,63084.99580146968,132
Digital_Video_Download,83394.06527818748,169
Digital_Video_Games,80032.61257984665,170
Electronics,86601.10114975309,167
Furniture,95251.25910334855,192
Gift Card,17705.476435721273,34
Grocery,91717.81878060599,186
Health & Personal Care,105343.07820860099,207
Major Appliances,121994.45313101559,247
Mobile_Apps,73913.74434418615,149
Mobile_Electronics,79974.83772340768,156
Music,90132.20584759634,181
Musical Instruments,102576.87409390864,213
Office Products,91139.7641183421,185
Outdoors,99149.90073622,192
PC,95491.1367242733,188
Video DVD,17651.357889681673,33
