product_category,total_sales,total_transactions
Apparel,149920.31704208418,296
Automotive,106648.20342986181,213
Baby,89826.53241546347,168
Beauty,100095.2834725177,194
Books,113439.63325492045,227
Camera,95156.77311218528,198
Digital_Ebook_Purchase,117687.17371470727,232
Digital_Music_Purchase,112801.2109334371,208
Digital_Software,64863.145642240044,128
Digital_Video_Download,71553.3833320878,138
Digital_Video_Games,90862.67825361696,180
Electronics,80372.46645192314,164
Furniture,92430.9441146311,177
Gift Card,23457.936334506445,47
Grocery,113257.8247072444,214
Health & Personal Care,103112.5058975245,213
Major Appliances,117271.07386686999,251
Mobile_Apps,76407.52649036518,148
Mobile_Electronics,83549.08372339194,172
Music,92517.9077396115,175
Musical Instruments,89077.81989205163,189
Office Products,105015.54148027964,218
Outdoors,90881.08003228105,190
PC,87828.5713131322,168
Toys,1129.0076372616952,3
Video DVD,7794.60387713981,17
Wireless,455.1592338240599,1
