product_category,total_sales,total_transactions
Apparel,132675.52541299365,261
Automotive,94591.64675808199,197
Baby,74760.21133086413,147
Beauty,86838.09733364602,172
Books,91094.37738125974,182
Camera,76529.34807028424,156
Digital_Ebook_Purchase,101994.71081795509,203
Digital_Music_Purchase,79934.07512981528,166
Digital_Software,55575.25278706978,113
Digital_Video_Download,73962.16198730323,145
Digital_Video_Games,62234.91452417049,133
Electronics,85734.28644251007,162
Furniture,93184.71134405723,176
Gift Card,21509.239671003557,39
Grocery,87577.23966416443,186
Health & Personal Care,79676.72414023502,165
Major Appliances,116658.57461879075,214
Mobile_Apps,64673.650181685225,136
Mobile_Electronics,62019.89021304631,122
Music,79204.60566937858,169
Musical Instruments,85904.37132807006,160
Office Products,87007.90115364468,177
Outdoors,79459.12665633875,161
PC,90194.60422897592,179
Toys,63.96486784330545,1
Video DVD,13659.9964119102,29
