product_category,total_sales,total_transactions
Apparel,173278.32459315794,333
Automotive,106568.99459787877,204
Baby,88767.95540088118,181
Beauty,94485.11546870269,183
Books,107116.34910217857,212
Camera,99199.70123684482,182
Digital_Ebook_Purchase,119634.18020888336,232
Digital_Music_Purchase,87526.61185569028,185
Digital_Software,57507.26249680778,110
Digital_Video_Download,81473.40285248778,171
Digital_Video_Games,84102.42494220549,167
Electronics,99900.52015787484,190
Furniture,87738.21917100769,176
Gift Card,21780.978732925112,42
Grocery,124898.58159643857,237
Health & Personal Care,95751.66771610868,183
Home Entertainment,924.9230550551738,1
Major Appliances,115627.8706550683,229
Mobile_Apps,69570.62197092503,138
Mobile_Electronics,84428.34875627709,160
Music,90235.84962751038,183
Musical Instruments,95011.39043363776,190
Office Products,102518.29794851477,199
Outdoors,106911.06678304292,206
PC,107611.62326506227,206
Toys,993.1191673387536,2
Video DVD,10645.598594413275,18
Wireless,181.25923060411523,1
