product_category,total_sales,total_transactions
Apparel,143857.73978557403,287
Automotive,110716.36715815547,219
Baby,92069.69852463252,193
Beauty,99780.54439577629,197
Books,98922.50743443624,210
Camera,81074.8841526108,158
Digital_Ebook_Purchase,121786.35448561651,233
Digital_Music_Purchase,108772.4151469708,212
Digital_Software,67979.0046019014,132
Digital_Video_Download,77199.50646556626,145
Digital_Video_Games,94610.3615963662,176
Electronics,83025.75879516982,163
Furniture,94190.741103755,181
Gift Card,20539.867164778418,36
Grocery,97127.05602236075,197
Health & Personal Care,103722.80416710093,209
Home Entertainment,543.4081340448621,1
Major Appliances,114394.40746704218,242
Mobile_Apps,71989.07848828423,154
Mobile_Electronics,77163.88717914071,163
Music,100722.91390659545,195
Musical Instruments,100965.56039547407,188
Office Products,88232.73358922104,173
Outdoors,87083.62323700204,170
PC,98554.55914114956,199
Video DVD,21845.087024557524,34
Wireless,798.6591084957829,1
