product_category,total_sales,total_transactions
Apparel,160804.22890145564,311
Automotive,93151.52360888026,187
Baby,99094.59664638298,192
Beauty,110742.74808496117,216
Books,102361.78446628114,202
Camera,94844.21151895344,179
Digital_Ebook_Purchase,119515.78241150494,228
Digital_Music_Purchase,98897.31762736982,197
Digital_Software,66940.19322654683,130
Digital_Video_Download,66741.28201748194,138
Digital_Video_Games,79095.05999090207,164
Electronics,81481.68724557992,171
Furniture,89716.74557004974,183
Gift Card,16942.796745394164,30
Grocery,92918.78523100831,187
Health & Personal Care,102944.41398070542,213
Major Appliances,106223.67608040635,224
Mobile_Apps,75092.8160055196,142
Mobile_Electronics,76515.86859822107,152
Music,96142.95788164897,197
Musical Instruments,92413.77933985011,179
Office Products,81999.48217003475,167
Outdoors,84526.27706486284,169
PC,106320.66990845466,202
Toys,1492.643569463626,3
Video DVD,13568.463398944401,32
