product_category,total_sales,total_transactions
Apparel,159492.35058746982,322
Automotive,104591.30935760512,191
Baby,91208.64909243828,187
Beauty,91205.4072988546,178
Books,91725.11279700777,184
Camera,85791.98430305782,170
Digital_Ebook_Purchase,109363.83587393299,207
Digital_Music_Purchase,109338.21056289706,206
Digital_Software,56639.285687128635,110
Digital_Video_Download,77954.37394286235,155
Digital_Video_Games,79411.74156451656,165
Electronics,86588.30805742521,180
Furniture,82513.87385545486,174
Gift Card,15459.414876664569,35
Grocery,86000.76328135682,185
Health & Personal Care,96577.75620159663,193
Major Appliances,112662.86451662474,211
Mobile_Apps,79463.24820920127,149
Mobile_Electronics,73847.81206826463,140
Music,90990.05016979294,175
Musical Instruments,89802.24259325708,181
Office Products,98664.62102068654,194
Outdoors,92944.23263765055,180
PC,85241.87018290775,165
Shoes,237.754043347751,1
Video DVD,9011.209766534383,17
