product_category,total_sales,total_transactions
Apparel,160542.4718557479,298
Automotive,120511.3033448745,236
Baby,110879.31587990296,212
Beauty,103010.8011843352,218
Books,118067.18673562162,243
Camera,88331.79097065266,182
Digital_Ebook_Purchase,116537.84243083376,241
Digital_Music_Purchase,97244.93402332002,195
Digital_Software,52357.68910145238,107
Digital_Video_Download,66524.88621726888,139
Digital_Video_Games,103291.36598733335,202
Electronics,77620.87138559368,171
Furniture,94081.10184428126,188
Gift Card,15161.592379868785,29
Grocery,94678.8695898783,189
Health & Personal Care,97378.32510178938,192
Major Appliances,122314.04105417841,243
Mobile_Apps,68022.46339586376,152
Mobile_Electronics,83634.04112949104,161
Music,88933.93821594719,173
Musical Instruments,119791.22673295523,230
Office Products,86941.20894389803,176
Outdoors,105569.7613154051,205
PC,100264.69003318893,195
Toys,735.2337438833171,2
Video DVD,12455.629600135266,24
Wireless,874.9774493028252,1
