product_category,total_sales,total_transactions
Apparel,167581.50212851554,327
Automotive,111785.88962765675,214
Baby,105966.00817815919,222
Beauty,121759.34376311665,258
Books,125371.86695296843,247
Camera,99011.52332479435,197
Digital_Ebook_Purchase,119510.43092760227,233
Digital_Music_Purchase,105265.4643545361,219
Digital_Software,55079.48627571369,115
Digital_Video_Download,87817.3087956284,172
Digital_Video_Games,98784.07062157756,190
Electronics,87983.50443505165,167
Furniture,85540.25046368966,182
Gift Card,17473.862212982,37
Grocery,98827.84926936221,195
Health & Personal Care,106568.71332487238,205
Major Appliances,126765.35515818905,240
Mobile_Apps,80022.25626197283,162
Mobile_Electronics,80241.35817547025,170
Music,90835.5690822979,180
Musical Instruments,96918.95992838517,199
Office Products,102545.78636857953,198
Outdoors,105690.70937930957,206
PC,112452.96229450217,215
Toys,3090.2463120296275,4
Video DVD,15511.133819317654,30
