product_category,total_sales,total_transactions
Apparel,182393.637584631,352
Automotive,111813.76285244664,217
Baby,83178.14495083949,180
Beauty,102267.65641078133,204
Books,129476.49143660531,256
Camera,95304.67145452576,196
Digital_Ebook_Purchase,130926.56557376891,262
Digital_Music_Purchase,106270.5223048849,216
Digital_Software,59993.00387940019,121
Digital_Video_Download,81281.0508019617,158
Digital_Video_Games,81555.70876264038,172
Electronics,100787.82387753396,202
Furniture,105844.52378223189,215
Gift Card,17880.675989742576,36
Grocery,117097.39057937545,238
Health & Personal Care,122020.03735116373,242
Major Appliances,134115.67330602597,266
Mobile_Apps,79611.23041785684,160
Mobile_Electronics,88408.82520001747,177
Music,97128.43612245326,196
Musical Instruments,111180.77255890088,207
Office Products,104680.53428932843,209
Outdoors,95317.41738149461,205
PC,90498.25036928419,179
Toys,2250.55728321465,3
Video DVD,10327.256832695433,23
Wireless,850.8627157476399,1
