product_category,total_sales,total_transactions
Apparel,142838.6269450078,278
Automotive,107851.59355781988,209
Baby,70550.86286591635,149
Beauty,109888.81428708447,209
Books,102517.18835810492,205
Camera,78839.76622559037,165
Digital_Ebook_Purchase,116000.38883644836,219
Digital_Music_Purchase,92297.43120188218,185
Digital_Software,59645.49965142185,116
Digital_Video_Download,87145.61479513654,159
Digital_Video_Games,82183.45931468393,163
Electronics,88652.49810099612,178
Furniture,97363.19635142159,185
Gift Card,15296.342577082083,33
Grocery,99701.3785234826,199
Health & Personal Care,116778.08791839147,229
Home Entertainment,508.4518422032391,1
Major Appliances,122154.79321965815,257
Mobile_Apps,84839.50142551059,167
Mobile_Electronics,79700.33616377774,152
Music,86121.05630492736,173
Musical Instruments,93362.56223511335,180
Office Products,116059.38758949001,219
Outdoors,90267.1068719166,169
PC,90988.59013491707,180
Shoes,644.6541029355901,1
Toys,1089.43108317276,2
Video DVD,7979.1278346970885,18
Wireless,216.95106390148584,1
