product_category,total_sales,total_transactions
Apparel,143617.4688074373,285
Automotive,87567.80902765293,179
Baby,76709.25477440495,164
Beauty,98640.98094761682,197
Books,103826.88752484927,198
Camera,77236.4889563091,161
Digital_Ebook_Purchase,104944.77573435001,210
Digital_Music_Purchase,104731.39230921818,197
Digital_Software,55911.063409276685,119
Digital_Video_Download,77875.28626740334,152
Digital_Video_Games,82659.64447963405,163
Electronics,95639.77675885327,173
Furniture,101688.2169695807,203
Gift Card,16125.313982548438,33
Grocery,96808.61439626766,198
Health & Personal Care,101793.11330883717,207
Major Appliances,108168.7993152216,207
Mobile_Apps,77624.521326139,151
Mobile_Electronics,80844.03577005838,156
Music,100130.32361302222,189
Musical Instruments,89778.6858833276,175
Office Products,118266.09267045178,224
Outdoors,92759.7479467888,170
PC,91316.3151403122,189
Toys,438.6065384812069,1
Video DVD,10633.6422688633,17
Wireless,1667.3271888323493,2
