product_category,total_sales,total_transactions
Apparel,185973.9091001636,360
Automotive,115279.42039549396,230
Baby,107239.25770004668,215
Beauty,101391.195712223,190
Books,117426.4355214019,234
Camera,91435.05359378573,184
Digital_Ebook_Purchase,129496.14736171559,253
Digital_Music_Purchase,113816.46111895725,210
Digital_Software,54760.18301726199,118
Digital_Video_Download,78571.66873927554,147
Digital_Video_Games,77212.7276879815,164
Electronics,91326.43923032691,173
Furniture,87960.09319126043,171
Gift Card,15192.633897112437,34
Grocery,114592.28876306745,226
Health & Personal Care,123162.102078608,242
Major Appliances,121394.5603749836,227
Mobile_Apps,82565.7131271773,161
Mobile_Electronics,77562.01157047947,167
Music,91383.24492536404,184
Musical Instruments,105615.87482930212,197
Office Products,110624.20842993213,210
Outdoors,87958.68016852914,183
PC,105593.68809102713,205
Video DVD,9443.498964727338,23
