product_category,total_sales,total_transactions
Apparel,179209.71634848314,345
Automotive,97510.76085995456,204
Baby,109698.47099070987,214
Beauty,99089.2608503944,208
Books,119447.04385239855,227
Camera,92377.8210605038,186
Digital_Ebook_Purchase,139489.74259629293,259
Digital_Music_Purchase,107077.33308796758,213
Digital_Software,69837.35965932712,134
Digital_Video_Download,100387.3452108964,194
Digital_Video_Games,96947.1477712711,189
Electronics,92362.61645794817,194
Furniture,82799.82482643459,169
Gift Card,24203.273814134092,47
Grocery,95986.12887122025,197
Health & Personal Care,114560.4270179043,220
Major Appliances,119117.6508527803,253
Mobile_Apps,91228.83387764616,171
Mobile_Electronics,77318.678665159,152
Music,100542.2461098056,199
Musical Instruments,91273.09247076567,191
Office Products,92562.37832688753,194
Outdoors,122291.91373157024,234
PC,87765.56834920845,188
Toys,1354.119552231003,2
Video DVD,16932.452343990135,33
