product_category,total_sales,total_transactions
Apparel,155026.26621657694,311
Automotive,105019.62120260879,204
Baby,82743.95544064566,160
Beauty,94695.76115331403,178
Books,99034.80223473547,198
Camera,77467.19447857153,162
Digital_Ebook_Purchase,116541.50956737794,234
Digital_Music_Purchase,98163.71268817055,193
Digital_Software,51887.46275064961,110
Digital_Video_Download,57535.826867219424,120
Digital_Video_Games,76627.96843570546,152
Electronics,80059.16545210518,164
Furniture,74113.21584737672,149
Gift Card,20622.88406568074,44
Grocery,87074.4046663796,166
Health & Personal Care,99465.87729778008,191
Major Appliances,101135.55755880012,207
Mobile_Apps,69798.95667414277,140
Mobile_Electronics,74669.59658542597,144
Music,92424.66613816765,187
Musical Instruments,99956.52129243196,206
Office Products,97097.19763495684,198
Outdoors,91772.34116714244,184
PC,98866.73254770176,194
Toys,1349.6864305913716,3
Video DVD,15306.35983489416,26
Wireless,154.9958877408243,1
