product_category,total_sales,total_transactions
Apparel,175623.82221039716,356
Automotive,106457.71320286096,217
Baby,106666.66069970853,191
Beauty,111975.93053035221,219
Books,113736.48704163767,226
Camera,83819.75078140614,184
Digital_Ebook_Purchase,122342.53813305555,250
Digital_Music_Purchase,109737.11862544634,213
Digital_Software,60305.06536660766,121
Digital_Video_Download,93434.89763337442,183
Digital_Video_Games,92137.81522085295,177
Electronics,88745.59470648853,179
Furniture,103459.78923689523,195
Gift Card,27631.409449398598,56
Grocery,95895.64829127463,182
Health & Personal Care,92664.72908357624,187
Major Appliances,111013.03754868533,229
Mobile_Apps,72072.40061926491,146
Mobile_Electronics,75865.25534107852,160
Music,82311.49050701075,167
Musical Instruments,114308.23416518817,218
Office Products,101306.17291477988,193
Outdoors,100990.41788278696,194
PC,104055.46718165572,198
Video DVD,11171.901206194576,24
