product_category,total_sales,total_transactions
Apparel,165109.67828039563,323
Automotive,97532.16427322605,197
Baby,107026.6126138056,190
Beauty,92849.64473374124,202
Books,108983.9337621461,217
Camera,83922.25581972879,166
Digital_Ebook_Purchase,126823.59335699311,238
Digital_Music_Purchase,103776.59007966932,210
Digital_Software,50938.300483830724,102
Digital_Video_Download,76417.72229170808,150
Digital_Video_Games,86878.19612355845,184
Electronics,92133.34787498174,175
Furniture,90869.30033375781,182
Gift Card,21820.805726831815,43
Grocery,94503.5283756425,188
Health & Personal Care,86316.83589656485,168
Major Appliances,119642.12807754215,234
Mobile_Apps,75042.6277249517,138
Mobile_Electronics,78020.63294861648,153
Music,98588.5385001539,193
Musical Instruments,77795.72313562375,159
Office Products,84520.31789932965,179
Outdoors,98774.47642156077,193
PC,97119.55048414561,195
Toys,1704.05511955047,3
Video DVD,8013.953703307421,18
