product_category,total_sales,total_transactions
Apparel,162543.08140732415,336
Automotive,134014.04227358446,250
Baby,93396.34663277435,192
Beauty,120340.0920047095,239
Books,107626.93337089657,215
Camera,87801.79579769437,179
Digital_Ebook_Purchase,127399.53940533723,257
Digital_Music_Purchase,111618.72908161701,225
Digital_Software,67309.63328471787,124
Digital_Video_Download,86620.5255276218,174
Digital_Video_Games,96016.56810962119,186
Electronics,85937.59221980862,170
Furniture,93704.52649494154,182
Gift Card,20162.98609263183,41
Grocery,115873.67836027016,215
Health & Personal Care,100757.99628577691,194
Major Appliances,119309.7909124575,249
Mobile_Apps,91034.12373707231,167
Mobile_Electronics,87017.33586442763,162
Music,94592.89170150284,199
Musical Instruments,88741.62159225822,188
Office Products,109853.29475667386,210
Outdoors,109940.32856763373,216
PC,103354.47339153916,208
Video DVD,14729.817662233774,27
Wireless,86.73237886990373,1
