product_category,total_sales,total_transactions
Apparel,189289.3110162118,360
Automotive,104166.85927749623,205
Baby,91485.34299313725,188
Beauty,111646.50780102429,218
Books,118507.2931437806,224
Camera,96158.20359268869,188
Digital_Ebook_Purchase,118491.89544420755,226
Digital_Music_Purchase,86408.35827099567,176
Digital_Software,76611.9948603018,138
Digital_Video_Download,83092.86116177552,162
Digital_Video_Games,81199.36263408282,166
Electronics,94359.74320694241,183
Furniture,85509.81537028059,169
Gift Card,17344.63550781562,34
Grocery,93964.11688284508,185
Health & Personal Care,96403.16542444294,195
Major Appliances,106134.78915717981,228
Mobile_Apps,73208.83714649623,150
Mobile_Electronics,83902.57089204996,158
Music,81702.80612995027,171
Musical Instruments,86078.99570345652,175
Office Products,92902.65038603431,181
Outdoors,107133.82744527113,204
PC,83047.06998991115,157
Shoes,20.38429611608205,1
Toys,186.18042944727864,1
Video DVD,10650.43723137404,21
