product_category,total_sales,total_transactions
Apparel,183317.8203471765,352
Automotive,113705.8624370269,208
Baby,87664.1854782185,170
Beauty,115159.34488207128,221
Books,127532.69738909106,246
Camera,100172.22177669601,188
Digital_Ebook_Purchase,114172.64359000234,224
Digital_Music_Purchase,100844.21008679632,194
Digital_Software,56366.687931526154,120
Digital_Video_Download,94201.02178709369,169
Digital_Video_Games,88030.25131022582,172
Electronics,80283.24652978725,172
Furniture,98453.48524904563,193
Gift Card,18722.636499001645,36
Grocery,106424.33538854249,219
Health & Personal Care,104857.14442281831,208
Major Appliances,124207.68093005245,242
Mobile_Apps,69806.70980893634,142
Mobile_Electronics,83812.16058669487,167
Music,95703.33277825329,193
Musical Instruments,84561.42603779957,164
Office Products,99953.6601206426,205
Outdoors,115297.41420195765,220
PC,97889.50835133088,192
Toys,2186.367698237441,5
Video DVD,13090.890622201854,26
