product_category,total_sales,total_transactions
Apparel,146225.71532241994,302
Automotive,118743.92331488545,228
Baby,100585.56246217478,194
Beauty,118879.22292605364,227
Books,121941.03080497983,250
Camera,85857.22233430116,175
Digital_Ebook_Purchase,132897.14164373765,253
Digital_Music_Purchase,120641.87767374545,233
Digital_Software,60789.8519376347,126
Digital_Video_Download,82823.99324244475,154
Digital_Video_Games,86557.78415645346,186
Electronics,86764.96761399384,182
Furniture,88537.53758491082,179
Gift Card,17793.100271927564,40
Grocery,100264.15303366433,194
Health & Personal Care,97982.44044558707,194
Home Entertainment,878.889624664739,1
Major Appliances,105995.17936522978,216
Mobile_Apps,78574.83850213849,153
Mobile_Electronics,78121.07191888633,159
Music,104507.40029006108,205
Musical Instruments,102746.44652345961,205
Office Products,91666.87290563152,181
Outdoors,99970.31538025706,198
PC,101236.41862691804,197
Toys,879.3831300581027,3
Video DVD,15654.526034408238,27
Wireless,922.9468683283108,2
