product_category,total_sales,total_transactions
Apparel,172857.7152378868,335
Automotive,85049.89302788032,175
Baby,100825.5880602308,178
Beauty,100680.21997849729,199
Books,107009.38248659651,207
Camera,86527.23538342194,174
Digital_Ebook_Purchase,113546.09923161141,222
Digital_Music_Purchase,90782.5542680022,182
Digital_Software,39397.105120440305,85
Digital_Video_Download,69920.64240984467,128
Digital_Video_Games,76137.56313793066,158
Electronics,84081.90647052329,167
Furniture,82887.62986762924,155
Gift Card,19058.10672886823,34
Grocery,99608.42955098637,202
Health & Personal Care,105719.28012494172,206
Home Entertainment,628.9386567387254,1
Major Appliances,111841.47628711574,222
Mobile_Apps,64051.90271908668,132
Mobile_Electronics,76492.15526121958,149
Music,87162.38429454816,179
Musical Instruments,104575.88282080958,205
Office Products,101458.68709256132,201
Outdoors,88358.63769897587,181
PC,76982.66619826906,166
Toys,527.0085476328761,1
Video DVD,10173.327206778538,18
