product_category,total_sales,total_transactions
Apparel,168322.55239141764,318
Automotive,108699.28610327441,206
Baby,95394.27651505196,184
Beauty,111157.96187162343,216
Books,114049.49685272285,216
Camera,95480.45593174928,184
Digital_Ebook_Purchase,113765.73678278425,244
Digital_Music_Purchase,102238.21079649756,207
Digital_Software,53762.26408342151,108
Digital_Video_Download,77733.26987298296,153
Digital_Video_Games,80397.23502734468,169
Electronics,77080.5967406151,158
Furniture,76686.10606328677,174
Gift Card,20275.10850499629,45
Grocery,109993.09233945877,214
Health & Personal Care,91769.27858299017,180
Major Appliances,123757.90794209391,250
Mobile_Apps,74318.19576748252,157
Mobile_Electronics,76177.04982317846,143
Music,100811.53022191057,190
Musical Instruments,89807.51672397027,190
Office Products,108480.90661893795,206
Outdoors,100518.51023679283,191
PC,98748.1289452952,199
Toys,1921.3845130385823,3
Video DVD,8490.562204480273,18
