product_category,total_sales,total_transactions
Apparel,136814.28686791766,256
Automotive,81360.71694168847,158
Baby,76728.62672290797,147
Beauty,76887.8402577471,167
Books,89869.75432224078,176
Camera,82843.005713022,161
Digital_Ebook_Purchase,92242.51443763995,184
Digital_Music_Purchase,79135.73424656811,170
Digital_Software,45951.69898798081,97
Digital_Video_Download,62229.81479175851,122
Digital_Video_Games,84637.30285315214,176
Electronics,88103.48088153252,163
Furniture,74004.67006821837,153
Gift Card,20685.47413235656,40
Grocery,89919.52047147826,175
Health & Personal Care,87979.6467682144,171
Major Appliances,86801.95468188165,174
Mobile_Apps,67003.73191359424,137
Mobile_Electronics,57908.60520172796,119
Music,93367.80267902416,177
Musical Instruments,93756.55754977146,171
Office Products,98964.21553787668,191
Outdoors,79886.50944668635,153
PC,82142.70283659283,164
Toys,631.175190320174,1
Video DVD,6198.141512722628,16
Wireless,803.3259889686866,1
