product_category,total_sales,total_transactions
Apparel,157649.97604090575,322
Automotive,105293.94086672759,211
Baby,110928.90947801093,217
Beauty,100781.03063466624,201
Books,120432.75467498349,228
Camera,91877.11584243979,189
Digital_Ebook_Purchase,114990.09771250075,237
Digital_Music_Purchase,98942.64289382163,201
Digital_Software,56242.92308492761,112
Digital_Video_Download,79066.5929878719,152
Digital_Video_Games,99807.08394924953,194
Electronics,91876.21716751126,188
Furniture,89063.66444245949,181
Gift Card,21776.466733207766,39
Grocery,103860.30131022818,199
Health & Personal Care,88648.0974997097,185
Major Appliances,119822.34852731226,223
Mobile_Apps,77840.04334941185,158
Mobile_Electronics,78715.10801866723,148
Music,89733.11043445955,184
Musical Instruments,108986.2851585196,213
Office Products,103896.8943870119,201
Outdoors,104852.52827294283,201
PC,86149.66459805913,166
Shoes,604.8527843817449,1
Toys,1351.7211245210067,2
Video DVD,6658.148259861593,17
