product_category,total_sales,total_transactions
Apparel,177340.544753911,345
Automotive,104331.69362286222,200
Baby,94620.90166802407,190
Beauty,114774.68796927597,227
Books,101970.09655778264,202
Camera,102250.52736728861,196
Digital_Ebook_Purchase,120130.6159771387,246
Digital_Music_Purchase,109482.29912298352,208
Digital_Software,65291.12634241984,125
Digital_Video_Download,73410.70830153361,147
Digital_Video_Games,92676.56326285613,184
Electronics,91337.1971390785,185
Furniture,94206.63435253633,187
Gift Card,15905.641472817293,36
Grocery,89659.79533900639,193
Health & Personal Care,102952.76827156809,203
Major Appliances,116721.06161946442,242
Mobile_Apps,86194.86186114041,162
Mobile_Electronics,84836.05282358726,178
Music,105745.45733703552,207
Musical Instruments,104717.30031266791,198
Office Products,108347.00646902896,213
Outdoors,91242.46262514869,180
PC,90869.78866780574,177
Toys,154.85805564575094,1
Video DVD,18116.999637322777,35
