product_category,total_sales,total_transactions
Apparel,176965.6662366049,371
Automotive,106369.68114511203,226
Baby,100813.32234099499,197
Beauty,99685.89746598588,204
Books,118882.2356652522,222
Camera,114713.8016918899,226
Digital_Ebook_Purchase,118000.93990531335,243
Digital_Music_Purchase,104972.89131664143,206
Digital_Software,67519.35473569644,134
Digital_Video_Download,85219.4119860686,165
Digital_Video_Games,87480.70172967474,177
Electronics,88013.36930824841,185
Furniture,94084.74244157877,185
Gift Card,24260.56190744285,47
Grocery,92267.13321910732,189
Health & Personal Care,105550.54375914237,208
Major Appliances,118505.69581756117,243
Mobile_Apps,87264.3840080707,177
Mobile_Electronics,83694.55350654955,159
Music,85423.36892948972,174
Musical Instruments,107693.2540816378,214
Office Products,80710.12041781044,161
Outdoors,114907.44013575849,225
PC,102848.75438403993,196
Toys,1477.6519768134635,3
Video DVD,14150.787752278642,23
