product_category,total_sales,total_transactions
Apparel,179514.23583798314,355
Automotive,106172.47320893776,211
Baby,107260.28393913279,206
Beauty,111231.78120104798,215
Books,120465.30400691208,232
Camera,95044.40571380325,194
Digital_Ebook_Purchase,121472.3855049256,238
Digital_Music_Purchase,109939.7403622577,216
Digital_Software,81280.27229328032,152
Digital_Video_Download,78988.6605286043,160
Digital_Video_Games,82657.87264882588,171
Electronics,79219.76797000167,161
Furniture,97592.18936566479,204
Gift Card,23059.767622534462,44
Grocery,109058.78314156625,205
Health & Personal Care,102659.43425835382,200
Major Appliances,125388.34644572118,250
Mobile_Apps,79855.5887721647,144
Mobile_Electronics,91756.96520020382,182
Music,97894.02944056684,204
Musical Instruments,99059.45536281593,196
Office Products,105492.58855426018,213
Outdoors,103213.61950771822,211
PC,99478.01862835717,188
Toys,19.88817632973924,1
Video DVD,14739.976629278459,27
Wireless,178.52968188722474,1
