product_category,total_sales,total_transactions
Apparel,178847.64462251685,355
Automotive,115195.64431773161,227
Baby,88204.55753391386,175
Beauty,111687.1099582653,215
Books,124376.66851101312,252
Camera,90738.6815075667,184
Digital_Ebook_Purchase,124697.84534716075,242
Digital_Music_Purchase,105250.36179176651,205
Digital_Software,58732.66177206922,117
Digital_Video_Download,80893.18635945542,166
Digital_Video_Games,86843.62908660405,162
Electronics,91506.38035897352,181
Furniture,87157.66853244808,172
Gift Card,18234.239953896722,35
Grocery,101822.13175909147,214
Health & Personal Care,108546.9463309082,218
Major Appliances,137210.24909534157,274
Mobile_Apps,88879.10575819132,172
Mobile_Electronics,88904.14132400608,177
Music,109541.47333515462,221
Musical Instruments,109472.32020731614,219
Office Products,108405.5283725875,209
Outdoors,95925.42651592717,186
PC,104022.89588775659,202
Toys,278.86678677212853,1
Video DVD,15765.031468288338,31
Wireless,60.36460885273929,1
