product_category,total_sales,total_transactions
Apparel,173068.09763959685,346
Automotive,115981.05141910659,218
Baby,104433.96492157514,201
Beauty,116956.910282231,222
Books,113751.49541693907,227
Camera,91645.1868567455,177
Digital_Ebook_Purchase,109789.74950201817,215
Digital_Music_Purchase,95498.97818899597,203
Digital_Software,73579.05427365776,132
Digital_Video_Download,69028.91704368178,152
Digital_Video_Games,88109.44445077352,178
Electronics,98358.46539545064,207
Furniture,103718.24680035142,205
Gift Card,18245.159327631536,33
Grocery,110729.76512665539,218
Health & Personal Care,123240.24855104009,232
Major Appliances,120463.93285488838,240
Mobile_Apps,105614.12885525484,202
Mobile_Electronics,71456.17887415939,155
Music,102367.66097517841,200
Musical Instruments,93617.432986166,187
Office Products,122604.98354643992,246
Outdoors,108596.18609096592,202
PC,114084.18983545032,218
Toys,963.0294295023018,3
Video DVD,8701.976892101966,22
