product_category,total_sales,total_transactions
Apparel,157921.90307137126,329
Automotive,102327.81583832507,201
Baby,90891.21865888331,184
Beauty,100157.26587793491,204
Books,109611.10965500254,222
Camera,88570.20061569574,199
Digital_Ebook_Purchase,115607.58419807817,225
Digital_Music_Purchase,113346.64762612709,224
Digital_Software,57952.27371488992,114
Digital_Video_Download,87452.8090343725,169
Digital_Video_Games,79547.50495851852,153
Electronics,101398.19084251171,180
Furniture,73174.45440400425,161
Gift Card,16986.036067050023,36
Grocery,96705.17750920124,197
Health & Personal Care,117669.6434526945,245
Home Entertainment,538.1658377117964,1
Major Appliances,118029.85300584312,242
Mobile_Apps,75698.66468814694,150
Mobile_Electronics,82892.99735198988,165
Music,101690.88342476831,190
Musical Instruments,98008.95519636018,210
Office Products,99298.50733340344,204
Outdoors,106705.77152757547,213
PC,95364.56837732866,182
Shoes,18.03692781003462,1
Toys,3466.9745954836003,5
Video DVD,11132.901626189716,21
