product_category,total_sales,total_transactions
Apparel,165638.1222070807,326
Automotive,89764.3477140886,180
Baby,90897.22975313882,177
Beauty,107898.2842678214,204
Books,106440.88626447172,214
Camera,79179.50231749346,160
Digital_Ebook_Purchase,107078.46381021784,210
Digital_Music_Purchase,108641.55313671676,203
Digital_Software,55901.97629452256,110
Digital_Video_Download,79112.68030854333,153
Digital_Video_Games,86043.27752642993,178
Electronics,88393.3777632799,172
Furniture,88177.43022303618,182
Gift Card,23110.984930727875,44
Grocery,106980.24429272788,199
Health & Personal Care,104643.02856538419,212
Major Appliances,98974.58854419386,196
Mobile_Apps,60334.58005689451,133
Mobile_Electronics,77038.01131060372,149
Music,87773.93092785541,179
Musical Instruments,91540.47610145807,186
Office Products,99477.49377646636,196
Outdoors,97385.63671426204,193
PC,96830.98947792812,191
Video DVD,9000.032469238406,19
