product_category,total_sales,total_transactions
Apparel,173853.492242928,350
Automotive,103037.28534062927,204
Baby,105361.05624276976,206
Beauty,113487.84422849724,225
Books,117352.40820323075,228
Camera,92146.82814556413,177
Digital_Ebook_Purchase,121139.19954679147,241
Digital_Music_Purchase,112334.27675399122,223
Digital_Software,59249.224729494854,114
Digital_Video_Download,87946.5302818708,174
Digital_Video_Games,91450.24530611697,180
Electronics,84916.09484778937,172
Furniture,98746.49107239388,188
Gift Card,23076.390315024113,42
Grocery,117016.6441295625,220
Health & Personal Care,112573.52155455308,234
Major Appliances,120406.29814790617,237
Mobile_Apps,88455.29203957341,175
Mobile_Electronics,93593.28121344915,187
Music,94966.7336066348,187
Musical Instruments,88705.27738192523,174
Office Products,95476.0656916663,179
Outdoors,107352.64091706724,207
PC,111227.814023629,214
Toys,149.93264972341314,1
Video DVD,10706.667683014311,20
