product_category,total_sales,total_transactions
Apparel,155528.56378879255,314
Automotive,95303.08250851923,191
Baby,91829.13183107515,183
Beauty,98022.66743906586,196
Books,108350.60501920352,211
Camera,88574.5479864677,172
Digital_Ebook_Purchase,104424.75290402658,224
Digital_Music_Purchase,99164.33897363237,202
Digital_Software,55331.05576917241,104
Digital_Video_Download,73729.57288912122,151
Digital_Video_Games,72913.75938269644,146
Electronics,87998.86752235085,176
Furniture,96655.24740572355,184
Gift Card,19204.292523891814,37
Grocery,99675.93012604985,199
Health & Personal Care,95882.64583408309,188
Major Appliances,100759.31187415264,210
Mobile_Apps,75148.35736985732,145
Mobile_Electronics,67361.08562631841,132
Music,100093.444635025,193
Musical Instruments,85328.58495447217,177
Office Products,106544.67602200515,207
Outdoors,97124.92994119237,183
PC,95074.98010618279,188
Video DVD,12827.637895781805,27
