product_category,total_sales,total_transactions
Apparel,179618.7409763295,347
Automotive,96008.69618553303,190
Baby,97724.32925707182,203
Beauty,104344.49440796317,217
Books,121663.57163539216,236
Camera,90590.1111199014,187
Digital_Ebook_Purchase,131417.68926609438,270
Digital_Music_Purchase,120443.22777756107,228
Digital_Software,73266.6018172255,132
Digital_Video_Download,77966.3824198889,152
Digital_Video_Games,91328.8923633786,177
Electronics,84886.56496537307,169
Furniture,86593.55506249188,190
Gift Card,18591.04373423301,35
Grocery,93147.22194719072,183
Health & Personal Care,111933.5479723261,222
Major Appliances,132396.5729536382,266
Mobile_Apps,73008.28870891478,149
Mobile_Electronics,82185.15638747311,165
Music,86293.90577212069,180
Musical Instruments,103467.56534003689,200
Office Products,99900.7138347273,190
Outdoors,99393.5632731834,201
PC,100345.02474754745,197
Toys,961.8624244339642,2
Video DVD,12487.883700703458,31
