product_category,total_sales,total_transactions
Apparel,173153.50916940218,335
Automotive,87871.5869146651,192
Baby,93302.33712872263,176
Beauty,108347.38998064067,220
Books,101226.59703735451,210
Camera,87081.60382115988,170
Digital_Ebook_Purchase,120346.19876011935,234
Digital_Music_Purchase,101320.05953666344,190
Digital_Software,63911.084937408385,134
Digital_Video_Download,67826.57364098645,141
Digital_Video_Games,73049.90622212613,149
Electronics,93440.75658983216,190
Furniture,98442.28943713877,196
Gift Card,18960.380663731667,39
Grocery,102470.62989296515,205
Health & Personal Care,99446.63983233654,197
Major Appliances,118374.3045963694,248
Mobile_Apps,93550.98438465936,179
Mobile_Electronics,69618.44838308371,149
Music,93840.37866185572,186
Musical Instruments,102172.15926435032,204
Office Products,94626.7398248812,190
Outdoors,103935.27886235282,204
PC,103761.17707992603,211
Shoes,176.33556200177196,1
Toys,2389.2397863181495,3
Video DVD,12624.905819963891,24
Wireless,1009.9625918181658,3
