product_category,total_sales,total_transactions
Apparel,151776.59440435155,311
Automotive,92678.24007054631,190
Baby,95837.14362730224,203
Beauty,116365.4568841974,218
Books,105346.52247374378,217
Camera,88195.048351608,166
Digital_Ebook_Purchase,107132.49910391521,211
Digital_Music_Purchase,93098.00624619196,183
Digital_Software,56025.51900970837,110
Digital_Video_Download,89327.60218513868,194
Digital_Video_Games,78083.02896171303,167
Electronics,91684.33819616523,179
Furniture,93908.99154142264,183
Gift Card,17311.177832436417,29
Grocery,86644.32027372708,185
Health & Personal Care,96077.76450036535,195
Major Appliances,116193.19035631254,233
Mobile_Apps,75696.39360313088,146
Mobile_Electronics,82821.75916896656,164
Music,88818.66626739649,181
Musical Instruments,101090.60854205271,187
Office Products,111340.87471475519,218
Outdoors,94019.95676288109,198
PC,86795.06175159036,180
Shoes,462.106960735236,1
Toys,477.1900023460668,1
Video DVD,8229.554720301816,19
