product_category,total_sales,total_transactions
Apparel,158475.03865445455,303
Automotive,103123.94150630695,205
Baby,92878.39466416405,185
Beauty,109004.26175888239,200
Books,88748.79856753071,191
Camera,80224.9392689587,162
Digital_Ebook_Purchase,118655.33513553218,218
Digital_Music_Purchase,109140.75622152256,207
Digital_Software,56707.921314973726,108
Digital_Video_Download,77311.6605221312,147
Digital_Video_Games,83078.5212533697,165
Electronics,82102.71547457163,163
Furniture,79821.5171562413,153
Gift Card,13296.909715044632,27
Grocery,78148.76188327844,165
Health & Personal Care,101612.88414768376,210
Major Appliances,114458.1704127597,223
Mobile_Apps,86098.78073416847,162
Mobile_Electronics,77569.3915384826,150
Music,93420.21701423642,177
Musical Instruments,87663.59068926703,185
Office Products,99679.51835696258,195
Outdoors,115742.04472026284,215
PC,101723.95268952045,204
Toys,1090.8993376797287,2
Video DVD,10680.226774819008,21
Wireless,962.8213192729512,2
