product_category,total_sales,total_transactions
Apparel,151239.80404104324,298
Automotive,91538.53772784074,176
Baby,94169.42399434066,173
Beauty,104710.16887718422,204
Books,120308.6703867503,232
Camera,85492.07518178779,179
Digital_Ebook_Purchase,109325.35752429103,225
Digital_Music_Purchase,92763.51123638707,187
Digital_Software,52410.344581512996,105
Digital_Video_Download,78557.65324569664,144
Digital_Video_Games,85751.95694876015,173
Electronics,88541.93087945688,173
Furniture,72554.65975676024,143
Gift Card,18082.283895419,35
Grocery,97155.66875330813,188
Health & Personal Care,104392.01822487524,219
Major Appliances,118409.2205440573,248
Mobile_Apps,82763.3128969857,158
Mobile_Electronics,61742.81010774199,127
Music,102958.78371872906,195
Musical Instruments,84927.76636848846,173
Office Products,92315.99654327995,195
Outdoors,95884.32339606115,184
PC,103855.16232512046,201
Toys,221.9684101123822,2
Video DVD,12815.99871250267,24
