product_category,total_sales,total_transactions
Apparel,135664.61230998937,283
Automotive,94145.45967373755,185
Baby,73013.31116093438,142
Beauty,86528.35495103597,174
Books,106797.3314096478,195
Camera,80909.58645604862,169
Digital_Ebook_Purchase,110036.94166972778,210
Digital_Music_Purchase,91727.63901153454,193
Digital_Software,65618.73263700758,118
Digital_Video_Download,74251.54897309907,140
Digital_Video_Games,78671.89454013933,161
Electronics,76693.07262559199,155
Furniture,86722.34653302214,162
Gift Card,15682.580529057006,29
Grocery,91665.69486127363,198
Health & Personal Care,87671.68960424418,174
Major Appliances,111982.24939516783,223
Mobile_Apps,80296.75367338736,151
Mobile_Electronics,77950.05551889095,153
Music,79058.10029607096,148
Musical Instruments,84627.9057143484,172
Office Products,95170.899633181,186
Outdoors,87520.2098902821,163
PC,84785.188896365,164
Shoes,513.1123844976748,1
Video DVD,13845.246294985798,29
Wireless,127.0750091110094,1
