product_category,total_sales,total_transactions
Apparel,158356.28151938634,317
Automotive,103844.06797153434,212
Baby,83302.68559297064,163
Beauty,96693.16383400206,190
Books,109110.49810910341,221
Camera,76615.00112504813,158
Digital_Ebook_Purchase,115896.28805139943,212
Digital_Music_Purchase,94316.57367519525,180
Digital_Software,52952.51597583998,103
Digital_Video_Download,72871.32019625619,142
Digital_Video_Games,81482.72769221224,162
Electronics,82423.13859313162,158
Furniture,87995.26681761137,175
Gift Card,20073.741249027033,41
Grocery,90606.67681553178,195
Health & Personal Care,117917.42365632107,220
Major Appliances,102872.84727583654,209
Mobile_Apps,74822.66571307536,154
Mobile_Electronics,72698.67193184861,157
Music,84436.54368525115,177
Musical Instruments,101988.13536765013,207
Office Products,82207.47069201466,178
Outdoors,98976.49200993875,179
PC,87088.94460324328,173
Toys,176.99478607753394,1
Video DVD,8620.153022344071,19
Wireless,585.2776910969835,1
