product_category,total_sales,total_transactions
Apparel,157776.9446912717,315
Automotive,99391.64252244207,193
Baby,100527.36522032344,210
Beauty,113261.68998227824,226
Books,118338.26347813995,226
Camera,83420.8962888114,180
Digital_Ebook_Purchase,118778.23068161754,240
Digital_Music_Purchase,117942.6202352502,221
Digital_Software,54132.80899202375,103
Digital_Video_Download,77746.86950662252,165
Digital_Video_Games,96860.50107123762,186
Electronics,83857.52256969654,168
Furniture,89402.46173205324,182
Gift Card,15630.233048553846,39
Grocery,88091.93697325698,180
Health & Personal Care,106338.67175970839,205
Major Appliances,117627.65057284241,232
Mobile_Apps,85094.09275858825,175
Mobile_Electronics,79357.36872526688,150
Music,87701.38040599546,173
Musical Instruments,97801.98285523901,207
Office Products,106600.74390758299,204
Outdoors,94383.74499959688,208
PC,95847.6816878776,192
Toys,529.390053199541,1
Video DVD,14663.373700197397,28
Wireless,487.5566436223944,1
