product_category,total_sales,total_transactions
Apparel,181660.71787134046,342
Automotive,113866.134897567,219
Baby,99917.94368157927,198
Beauty,109319.05412271201,220
Books,118856.48760313432,229
Camera,102874.90106530121,209
Digital_Ebook_Purchase,120333.74640580759,237
Digital_Music_Purchase,110470.32082933857,209
Digital_Software,60999.94642842153,122
Digital_Video_Download,84065.09991146272,166
Digital_Video_Games,107479.06573517663,206
Electronics,102988.53617731719,190
Furniture,102789.74303818792,194
Gift Card,13801.616311677262,29
Grocery,103645.02728081764,212
Health & Personal Care,114792.29712828388,223
Major Appliances,127440.25936933495,237
Mobile_Apps,90853.49358628009,177
Mobile_Electronics,91311.91892839932,177
Music,110000.91342073231,204
Musical Instruments,97363.88954580232,196
Office Products,111338.47896254448,218
Outdoors,98707.82899553847,186
PC,92058.40251461216,192
Shoes,690.6239236422173,1
Toys,149.25874757901457,1
Video DVD,12692.139211301068,23
Wireless,372.0408416986333,1
