sale_id,sales_amount,product_category,product_name,location_id,date,customer_id
319921,659.4357775871687,Music,Deja Vu,3568,2023-11-26,42190
319922,946.082620122137,Furniture,ACCENT CHAIR -LEATHER-LOOK FABRIC,3351,2023-11-26,17859
319923,919.8566226610717,Digital_Video_Games,Dead Space 3 Complete Pack [Online Game Code],2794,2023-11-26,3123
319924,824.9084799148997,Digital_Music_Purchase,Just the Way You Are,3434,2023-11-26,36598
319925,104.66022954092162,Health & Personal Care,30g SUPER NUMB Anesthetic Skin Numbing Cream Numb Tattoo Laser Piercing Waxing FAST SHIPPING,2697,2023-11-26,9921
319926,29.93579613549838,Mobile_Electronics,Rubber Quick Clip TPU Cover Case for iPod Nano 7th Generation - Pink,1485,2023-11-26,26426
319927,313.6609117499595,Baby,Child to Cherish Handprints Tower Of Time Kit,1609,2023-11-26,5576
319928,763.222619171492,Digital_Ebook_Purchase,In Hitler's Backyard,2859,2023-11-26,201
319929,674.3819861661631,Music,Conception,1835,2023-11-26,9556
319930,608.5356628374428,Digital_Video_Games,Return to Castle Wolfenstein [Online Game Code],3223,2023-11-26,47053
319931,866.8545544540167,Automotive,Motorcraft DY1123 Speed Sensor,3390,2023-11-26,26690
319932,289.8502683664201,Outdoors,Sunlite Standard Mesh Bottom Lift-Off Basket w/ Bracket,2965,2023-11-26,31106
319933,74.67453179227319,Major Appliances,"midea WHS-129C Single Door Chest Freezer, 3.5 Cubic Feet, White",3450,2023-11-26,21737
319934,469.4642683052754,Apparel,Unotux 23 Color Satin Clip-on Necktie Boys Formal Suits Tuxedo from Baby to Teen,3269,2023-11-26,17697
319935,251.95241890837517,Health & Personal Care,Tummy Tuck Miracle Slimming System,3476,2023-11-26,28774
319936,533.814686223587,Major Appliances,"Air King Designer Series Under Cabinet Range Hood, 30 Inch Wide",1891,2023-11-26,13559
319937,350.62215471729075,Music,Better Class of Losers,1103,2023-11-26,15742
319938,264.00550104796906,Books,The Store,3132,2023-11-26,45068
319939,389.6068692083271,Mobile_Apps,BINGO HEAVEN! - Free Bingo Games! Download to Play for free Online or Offline!,1240,2023-11-26,40409
319940,115.70288597049168,Mobile_Electronics,60W 28KHz Chrome Ultrasonic Piezoelectric Cleaning Transducer Ultrasonic Cleaner,3567,2023-11-26,44192
319941,144.86363206151194,Baby,Prince Lionheart playMAT,1326,2023-11-26,26471
319942,834.6408162361636,Major Appliances,Maytag : MEDC700VW 7.4 cu. ft. Dryer - White,2814,2023-11-26,9739
319943,366.5712438398012,Furniture,Lorell LLR82825,1979,2023-11-26,41426
319944,279.13472201000286,Digital_Ebook_Purchase,To Tempt Highland Fate (The Clan MacCoinnach Book 2),2355,2023-11-26,19371
319945,574.169533376225,Digital_Music_Purchase,World's Gone Crazy,1953,2023-11-26,24100
319946,76.60736408528389,Grocery,"Hint Raspberry Essence Water, 16 Ounce -- 12 per case",1669,2023-11-26,23281
319947,929.3948343613305,Digital_Music_Purchase,Study Music Sea Sounds - Sea Shore Beach Waves and Crickets at Night . Sounds of Nature for Concentration and Meditation. More Than One Hour of Continuous Music,1586,2023-11-26,41259
