sale_id,sales_amount,product_category,product_name,date,customer_id
324358,288.1028157775951,Digital_Ebook_Purchase,The Complete Conversations with God: An Uncommon Dialogue,2023-12-10,20722
324359,657.936041367793,Major Appliances,27 Bottle Dual Zone Wine Cooler,2023-12-10,5792
324360,658.209738659385,Outdoors,Krown Complete Longboard Skateboard,2023-12-10,14635
324361,636.3771688015136,Health & Personal Care,"Clorox ScrubSingles, Kitchen, Citrus Blend",2023-12-10,24889
324362,557.5759718619312,Grocery,Ancient Harvest Quinoa Flakes Organic Gluten Free 12 Oz (Pack of 3),2023-12-10,9434
324363,847.8842964345727,Digital_Ebook_Purchase,Infinite Jest,2023-12-10,18223
324364,886.0158259512509,Digital_Video_Download,Boyhood,2023-12-10,25472
324365,303.4030969351057,Major Appliances,Samsung DA29-00020B Compatible Water Filter - Refrigerator,2023-12-10,16138
324366,989.0280720642361,Digital_Music_Purchase,From Italy to Brazil,2023-12-10,34570
324367,293.1141204499041,Digital_Ebook_Purchase,He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,2023-12-10,17026
324368,743.4449107119821,Major Appliances,"Whirlpool WDF730PAYM Gold 24"" Stainless Steel Full Console Dishwasher - Energy Star",2023-12-10,26724
324369,655.5776613714645,Electronics,Cable Matters 12-Outlet Surge Protector with 2.1A Dual USB Charging Ports,2023-12-10,28964
324370,297.3379313642875,Digital_Ebook_Purchase,13 BDSM Short Stories - BDSM Male Dominance Female Submission XXX Collection,2023-12-10,48558
324371,394.8410901697539,Digital_Ebook_Purchase,A Delicate Truth: A Novel,2023-12-10,18508
324372,248.01476206146543,Digital_Video_Games,The Witcher 3: Wild Hunt,2023-12-10,18257
324373,860.2772943904913,Baby,"Tadpoles Dot Curtain Panels, Set of 2",2023-12-10,5139
324374,385.21051297229155,Health & Personal Care,Babo Botanicals SPF 30 Fresh Apple Scent Clear Zinc Sport Stick Sunscreen 0.6 oz,2023-12-10,5817
324375,921.1112199679915,Mobile_Electronics,"Car Bluetooth Rear View Mirror Kit - GPS, Radar Detector, DVR, Wireless Camera, Free Micro SD Card",2023-12-10,22546
324376,168.09047658132405,Baby,Infantino Animal Park Shape Sorter (Discontinued by Manufacturer),2023-12-10,4031
324377,959.1474893058098,PC,"Intel Next Unit of Computing Kit, Black/Grey BOXDCCP847DYE",2023-12-10,10417
324378,250.4268770582175,Mobile_Electronics,BKTZM220+GA-WXWM: i.Trek Windshield Suction Cup Mount for Garmin Nuvi 550 500 ZUMO 220 GPS,2023-12-10,34957
324379,403.6899150890044,Major Appliances,Maytag Maxima XL Front Load Steam Washer and Steam Dryer SET (Electric Dryer) in White,2023-12-10,4863
324380,520.3287731176106,Digital_Music_Purchase,Stick It To The Man,2023-12-10,35641
324381,887.7049736457061,Mobile_Apps,Call Santa Voicemail,2023-12-10,11550
324382,680.0793132765285,Digital_Software,gDoc Binder v1.0 [Download],2023-12-10,35744
324383,379.495132519341,Camera,Parrot AR.Drone Quadricopter Controlled by iPhone/iPod touch/iPad,2023-12-10,17397
324384,630.3592826087249,Health & Personal Care,2 X Suntory Milcolla Powder 210 G (30 Days) Collagen Drink From Japan Fast Shipping and Ship Worldwide,2023-12-10,23889
324385,844.4760128919359,Mobile_Electronics,Thermos Ns402pl4 16-Oz Capacity Sipp Leak-Proof Drink Bottle (Plum),2023-12-10,27350
324386,445.6188750483677,Electronics,"[UL Listed] Pwr+ EXTRA LONG 6.5 Ft Samsung Galaxy J1 J3 J5 J7 S S2 S3 S4 S5 S6 S7; Note 2 3 4 5 Edgel; Google Nexus 4 5 6 7 9 10; On5, Express Prime 2 BlackBerry Q20; LG G2 G3 G4 G Flex V10 Volt K7 HTC One A9 M7 M8 M9; Huawei Honor 5X, P8 Lite; Motorola Moto E G RAZR M X Pure; Lumia 435 520 640; BLU Advance 5.0 5.5 HD, LIFE ONE X2; AT&T Z222 Phone; Lenovo TAB2 A10 Combo Charger AC Adapter + Car Ch",2023-12-10,42035
