sale_id,sales_amount,product_category,product_name,date,customer_id
281712,992.906512213476,Major Appliances,Whirlpool Part Number 279054: THRMST-FIX,2023-02-24,25296
281713,927.1221220075541,Apparel,Felina Women's Harlow Unlined Demi Bra,2023-02-24,5064
281714,135.75800069461894,Books,"Nursing Diagnoses, Outcomes, and Interventions: NANDA, NOC and NIC Linkages",2023-02-24,33412
281715,656.6207923571089,PC,HDE Ultra-Thin Wireless Mouse 2.4GHZ Ergonomic Candy Colored Optical Mouse with USB Nano Receiver and Adjustable DPI Switch,2023-02-24,5621
281716,809.2047748529474,Books,Rendezvous with Rama,2023-02-24,38175
281717,778.3894603350425,Major Appliances,"Amana Standard Tub Dishwasher, ADB1000AWB, Black",2023-02-24,14475
281718,140.19275531089176,Books,For the Good of the Game: Modern Techniques and Practical Wisdom for Today's Soccer Referee,2023-02-24,45320
281719,694.7618267955328,Office Products,"Sharpie Oil-Based Paint Marker, Medium Point, White Ink, Pack of 3",2023-02-24,32915
281720,228.98624029611213,Major Appliances,Kenmore Refrigerator Icemaker Ice Maker & Water Valve 4318047,2023-02-24,12691
281721,702.924514464097,PC,"Tab S 10.5 Case, Boriyuan Portable Protective Ultra Slim Folding PU Leather Case Folio Flip Cover for Samsung Galaxy Tab S 10.5 inch Tablet SM-T800/T805 with Elastic Strap Latch and Multi-angle 360 Degree Rotating Stand Holder + Black Stylus Pen + Screen Protector (Black)",2023-02-24,1438
281722,421.7256051948627,Gift Card,"Amazon Gift Card - Print - Oh Deer, It's Christmas!",2023-02-24,46585
281723,520.6472188495158,Digital_Music_Purchase,Orphans,2023-02-24,42060
281724,763.1362781665391,Books,"Leaves of Grass: The ""Death-Bed"" Edition (Modern Library)",2023-02-24,27559
281725,832.4337899992912,Automotive,Dorman 746-259 Chrysler/Dodge Driver and Passenger Side Sliding Door Power Lock Actuator,2023-02-24,49130
281726,150.29906681604572,Office Products,Uniden Handset Landline Telephone,2023-02-24,7222
281727,740.009420565008,Health & Personal Care,Shibari SHIB-WHT Magic Wand Power Massager,2023-02-24,48674
281728,767.07036284776,Automotive,Accugage Dial Low Pressure Tire Gauge 1-15 psi,2023-02-24,2313
281729,444.5715367651861,Musical Instruments,"HitLights Halo Dimmable PAR20 8W Cool White (5000K) LED Light Bulb, UL Listed, 5 Years Warranty, Indoor/Outdoor Use",2023-02-24,40138
281730,247.940958104195,Health & Personal Care,ALASKA BEAR® - Cigar Cutter Stainless Steel Guillotine Double Cut Blade in Black Gift Pouch(Lifetime Warranty),2023-02-24,44845
281731,724.6147444963339,Apparel,Calvin Klein Jeans Men's Long-Sleeve Color-Block V-Neck Shirt,2023-02-24,9019
281732,953.35006783525,Digital_Video_Games,Wildlife Park 2 - Fantasy [Online Game Code],2023-02-24,1038
281733,280.5664474371583,Automotive,2011 Kia Sportage All Weather Rubber Slush Floor Mats,2023-02-24,710
281734,221.84105814748602,Music,Evening of Yes Music Plus,2023-02-24,22025
281735,767.1037435454222,Electronics,30 Foot B & A Computer Black Gold HDMI Male/Male Digital Audio/Video HDTV/Home Theater Cable,2023-02-24,20024
281736,714.4924148231046,Grocery,"Al Dente Carba-Nada Egg Fettuccine, 10-Ounce Bags (Pack of 6)",2023-02-24,3462
281737,275.95370392643696,Furniture,OttLite T59BNR Vero Table Lamp in Brushed Nickel,2023-02-24,3194
281738,28.285979008848855,Mobile_Apps,Alice in the Mirrors of Albion,2023-02-24,18596
281739,451.9921834351727,Major Appliances,ERP 303373 Drum Roller with Shaft Replaces Maytag,2023-02-24,16236
281740,797.55353067811,Major Appliances,"LG LDG3036ST Freestanding Gas Range, 30-Inch, Stainless Steel",2023-02-24,13573
281741,708.790905038238,Baby,Pampers Swaddlers Preemie Mini Pack 20 Count,2023-02-24,602
281742,186.4648255465883,Grocery,"Guatemala Huehuetenango Coffee, Whole Bean, Fresh Roasted Coffee LLC",2023-02-24,36218
281743,204.4707349169591,Music,BeBe & CeCe Winans - Greatest Hits,2023-02-24,27699
281744,472.46828117931966,Furniture,Mother Teresa Life Quote Motivational Plastic Sign 12 x 18in,2023-02-24,35549
281745,153.2469453497739,Camera,Dropcam Wi-Fi Wireless Internet Home Security Camera,2023-02-24,30383
281746,159.4982502555793,Health & Personal Care,2 Months Hairfinity Vitamins Healthy Hair Rapid Long Hair Growth - Pack of 2 - 60 Capsules per bottle,2023-02-24,30344
281747,850.0315625499532,Health & Personal Care,Creation Springs Precision Wet/Dry Nose and Ear Hair Trimmer Plus Salon Grade Micro-Groomer - Stainless Steel Blades,2023-02-24,25903
281748,830.5610235089175,Outdoors,Razor V-17 Youth Multi-Sport Helmet,2023-02-24,28974
281749,313.5350049397634,PC,Laptop/Notebook AC Adapter/Power Supply Charger+Cord for HP Pavilion DV2300 DV8900 dv2800 dv5100 dv5298ea dv6408nr dv6604nr dv6605us dv6609wm dv6625us dv6626us dv6627nr dv6628us dv6629us dv6633us dv6707us dv6810us dv6815nr dv9720us dv9810us dv9830,2023-02-24,13610
281750,370.10327776353495,Digital_Music_Purchase,Over The Rainbow,2023-02-24,27615
281751,994.6462252296193,Music,Music for the Native Americans,2023-02-24,5247
281752,617.4266183418052,Mobile_Apps,Vocab Smart,2023-02-24,26431
281753,231.3564557458175,Digital_Ebook_Purchase,Georgia On My Mind,2023-02-24,29388
281754,185.64311980842186,Apparel,Lucky Brand Women's Plus-Size Cascading Floral Tee,2023-02-24,41300
281755,309.713225625265,Baby,"Fridababy The Windi Gas and Colic Relief,  10-Count",2023-02-24,29480
281756,190.10472328717884,Office Products,Kate Spade Medium Agenda - Gold Dots,2023-02-24,32241
281757,15.337999143381943,Office Products,"E-Z Ink (TM) Remanufactured Ink Cartridge Replacement For Epson 126 (3 Black, 1 Cyan, 1 Magenta, 1 Yellow) 6 Pack",2023-02-24,47920
281758,824.1868389291913,Digital_Ebook_Purchase,'Til Death Do Us Part (Lily Drake Book 2),2023-02-24,27790
281759,211.6293571472721,Mobile_Electronics,Ouku Night Vision Watherproof Car Rear View 420TVL 1/3 Inch CMOS Color Sensor Camera with 120 Degree Wide Viewing Angle and Anti-fog Function,2023-02-24,22863
281760,679.9040042789109,Automotive,Sena SMH10D Bluetooth Helmet Communication System (Pack of 2),2023-02-24,26775
281761,160.31911839381323,Books,The Men's Health Hard Body Plan : The Ultimate 12-Week Program for Burning Fat and Building Muscle,2023-02-24,17693
281762,969.3408784446658,Mobile_Electronics,Ionic Bluetooth Keyboard Tablet Stand Leather Case for New Barnes & Noble Nook HD+ 9-inch Wifi (Black/ Brown)[Does not fit Nook Tablet],2023-02-24,24242
281763,472.14047453205734,Beauty,"Omega Labs Fungus Treatment for Finger & Toe Nails, .5fl oz(Pack of 2)",2023-02-24,6659
281764,823.7813273400903,Books,"Tools and Tactics for the Master Day Trader: Battle-Tested Techniques for Day,  Swing, and Position Traders",2023-02-24,17557
281765,919.9673165481415,PC,"Fire HD 6 Kids Edition, 6"" HD Display, Wi-Fi, 8 GB, Kid-Proof Case",2023-02-24,41500
281766,300.0717051017386,Furniture,Rhinestone Bouquet Picks,2023-02-24,29001
281767,409.3016512421574,Digital_Video_Download,Life of Pi,2023-02-24,28733
281768,946.4653186865112,Office Products,Avery Mini Durable View Binder for 5.5 x 8.5 Inches Pages,2023-02-24,20931
281769,723.2024704477892,Musical Instruments,Promark American Hickory 5A Wood Tip Drumstick,2023-02-24,27051
281770,572.8388912126865,Musical Instruments,"920D Custom Shop 1 One Ply Pickguard for Fender Stratocaster, Black 11 Hole",2023-02-24,23730
281771,190.96719629146858,Musical Instruments,Visual Effects Battery Powered Disco Ball Motor,2023-02-24,44673
281772,451.8827976744808,PC,"Tab S 10.5 Case, Boriyuan Portable Protective Ultra Slim Folding PU Leather Case Folio Flip Cover for Samsung Galaxy Tab S 10.5 inch Tablet SM-T800/T805 with Elastic Strap Latch and Multi-angle 360 Degree Rotating Stand Holder + Black Stylus Pen + Screen Protector (Black)",2023-02-24,36160
281773,592.9034568721447,Automotive,Dodge Neon Headlights OE Style Replacement Headlamps Driver/Passenger Pair New,2023-02-24,39590
281774,130.12749810750668,Musical Instruments,Music Ossia Staff Rubber Stamp,2023-02-24,27670
281775,543.4317449541408,Health & Personal Care,"Deva Vegan Vitamins Daily Multivitamin Iron Free, 90 Tablets",2023-02-24,1069
281776,311.04375498359633,Music,Puccini: Madama Butterfly,2023-02-24,47779
281777,413.6937877455171,Digital_Software,My Driver Updater v. 2014 [Download],2023-02-24,28874
281778,662.6706100316184,Apparel,Superman Logo Striped Knit Billed Beanie Hat,2023-02-24,6446
281779,933.361477215058,Office Products,HQ Supplies Brother tn115 Toners Remanufactured,2023-02-24,10111
281780,521.0041284238475,Grocery,2 Packs Carte Noire Espresso Ground Coffee 8.8oz/250g,2023-02-24,32265
281781,609.9907897289089,Digital_Video_Download,Masterpiece: Inspector Lewis Season 1,2023-02-24,36470
281782,38.5088311448022,Digital_Ebook_Purchase,Danger in High Heels (High Heels Mysteries Book 7),2023-02-24,10336
281783,903.1037858748001,Office Products,2013 Angels and Saints Catholic Wall Calendar,2023-02-24,4220
281784,14.793795709158129,Electronics,Belkin Conserve Socket Energy-Saving Outlet with Timer,2023-02-24,1912
281785,533.7644143071802,Electronics,Battery Chargers,2023-02-24,47973
281786,215.55219849519634,Baby,Regalo Easy Open Extra Wide Metal Walk Through Safety Gate,2023-02-24,11999
281787,260.87051478092536,Mobile_Apps,Thomas the Tank Engine Cartoon Episodes(Kindle),2023-02-24,45241
281788,603.2252912613158,Baby,"Disney 4 Piece Toddler Bedding Set, Taking The Race (Discontinued by Manufacturer)",2023-02-24,42637
281789,61.613323704438145,Books,"A Dictionary of Moroccan Arabic Moroccan-English, English-Moroccan",2023-02-24,1488
281790,917.4082529199695,Camera,Tenba Mixx Small Top Load - Black (638-631),2023-02-24,9574
281791,577.830744460744,Digital_Video_Games,Chloe's Dream Resort [Game Download],2023-02-24,21271
281792,633.1938551389293,Musical Instruments,Audio-Technica ATR-3350IS Omnidirectional Condenser Lavalier Mic with Smartphone Adapter,2023-02-24,29935
281793,429.90198043803304,Digital_Video_Games,Space Engineers [Online Game Code],2023-02-24,49679
281794,283.5847903406817,Digital_Music_Purchase,Corrupt My Examiner,2023-02-24,24114
281795,193.23388269121696,Digital_Video_Download,Wrinkles,2023-02-24,47359
281796,626.0659467087404,Furniture,Aloe Gel Memory Foam 11-inch Queen-size Smooth Top Mattress,2023-02-24,25131
281797,531.4341939794921,Books,Paperchase: A Novel,2023-02-24,18104
281798,932.2103971508144,Health & Personal Care,C-Salts Vitamin C Mineral Ascorbate Powder,2023-02-24,3740
281799,501.3796092237496,Camera,Panasonic Lumix 12.5mm f/12 3D G Lens for Micro Four Thirds Interchangeable Lens Cameras,2023-02-24,34134
281800,747.6696410893308,Digital_Video_Download,The Unit Season 1,2023-02-24,32002
281801,506.64739956000966,Apparel,"Stretch Butt Lifting Skinny Jeans - High Waisted, Slimming Denim Jeans for women, Pantalones Levantacola Curvify",2023-02-24,4141
281802,203.9010109391867,Grocery,Chef Cherie's Honey Powder in a 1 Pound Plastic Bag,2023-02-24,43323
281803,65.54062504012407,Health & Personal Care,I Quart certified 35% Food Grade Hydrogen Peroxide (32 ounces - double for less) +FREE dropper bottle +FREE 4 ounces Mediterranean Sea Salt; recommended by One Minute Cure. Shipped fast.,2023-02-24,39327
281804,971.9779318692523,Office Products,"12 Pack Compatible With Brother LC-71 , LC-75 3 Black, 3 Cyan, 3 Magenta, 3 Yellow Compatible With Brother MFC-J280W, MFC-J425W, MFC-J430W, MFC-J435W, MFC-J5910DW, MFC-J625DW, MFC-J6510DW, MFC-J6710DW, MFC-J6910DW, MFC-J825DW, MFC-J835DW. Ink Cartridges for inkjet printers. LC-71BK , LC-71C , LC-71M , LC-71Y , LC-75BK , LC-75C , LC-75M , LC-75Y © Blake Printing Supply",2023-02-24,9332
281805,764.2947731754881,Digital_Video_Download,"The Walking Dead, Season 2",2023-02-24,42570
281806,649.0831545206988,Health & Personal Care,Hefty Strong Large Trash Bags,2023-02-24,46740
